sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03852-B-rkfish	e03852-B-rkfish	1	e03852-B-rkfish_S467_L001_R1_001.fastq.gz	e03852-B-rkfish_S467_L001_R2_001.fastq.gz	6226	6226	5811	5811	4292	4292	91	91	91
e03852-C-rkfish	e03852-C-rkfish	1	e03852-C-rkfish_S563_L001_R1_001.fastq.gz	e03852-C-rkfish_S563_L001_R2_001.fastq.gz	6937	6937	6750	6750	6247	6247	0	0	0
e03853-A-rkfish	e03853-A-rkfish	1	e03853-A-rkfish_S372_L001_R1_001.fastq.gz	e03853-A-rkfish_S372_L001_R2_001.fastq.gz	14974	14974	14373	14373	10294	10294	1681	1681	1681
e03853-B-rkfish	e03853-B-rkfish	1	e03853-B-rkfish_S468_L001_R1_001.fastq.gz	e03853-B-rkfish_S468_L001_R2_001.fastq.gz	10991	10991	10580	10580	7236	7236	208	208	208
e03853-C-rkfish	e03853-C-rkfish	1	e03853-C-rkfish_S564_L001_R1_001.fastq.gz	e03853-C-rkfish_S564_L001_R2_001.fastq.gz	112228	112228	109748	109748	109536	109536	97322	97267	97267
e03854-A-rkfish	e03854-A-rkfish	1	e03854-A-rkfish_S373_L001_R1_001.fastq.gz	e03854-A-rkfish_S373_L001_R2_001.fastq.gz	7863	7863	7649	7649	5015	5015	401	401	401
e03854-B-rkfish	e03854-B-rkfish	1	e03854-B-rkfish_S469_L001_R1_001.fastq.gz	e03854-B-rkfish_S469_L001_R2_001.fastq.gz	6312	6312	5979	5979	3285	3285	169	169	169
e03854-C-rkfish	e03854-C-rkfish	1	e03854-C-rkfish_S565_L001_R1_001.fastq.gz	e03854-C-rkfish_S565_L001_R2_001.fastq.gz	7222	7222	7022	7022	4467	4467	92	92	92
e03855-A-rkfish	e03855-A-rkfish	1	e03855-A-rkfish_S374_L001_R1_001.fastq.gz	e03855-A-rkfish_S374_L001_R2_001.fastq.gz	9158	9158	8870	8870	6615	6615	313	313	313
e03855-B-rkfish	e03855-B-rkfish	1	e03855-B-rkfish_S470_L001_R1_001.fastq.gz	e03855-B-rkfish_S470_L001_R2_001.fastq.gz	8385	8385	7762	7762	5142	5142	844	844	844
e03855-C-rkfish	e03855-C-rkfish	1	e03855-C-rkfish_S566_L001_R1_001.fastq.gz	e03855-C-rkfish_S566_L001_R2_001.fastq.gz	9670	9670	9289	9289	6691	6691	0	0	0
e03856-A-rkfish	e03856-A-rkfish	1	e03856-A-rkfish_S375_L001_R1_001.fastq.gz	e03856-A-rkfish_S375_L001_R2_001.fastq.gz	6465	6465	6283	6283	6059	6059	1647	1647	1647
